text,Jonathan,Michael,Corpus
"And I just walked away leaving everything --- clothes , money , records , books ... And I walked . I just <kept walking . Walking> and walking in the pissing rain . I just walked . Nothing momentous .",continuative,Continuative,B
"It was a stupid idea but nothing she said seemed to make any difference . She wanted to say screw the colonialist blood but did n't . She <kept waiting for him> to do something , but he hesitated , as if he were waiting for her . She enjoyed hearing about the governess 's letters which would never be received and translations of East End rhyming slang , but did n't think he actually listened to her , he often asked her the same questions . It was as if he were memorizing her life so he could sail to New York , adopt a different accent , and claim to be a long lost relative due a piece of her fortune which had n't been considerable and might all be gone now .",continuative,Continuative,B
"A gentle , amiable alcoholic , Tich supplemented his dole money in the pea picking season , but the soil got into the cuts on his hands and poisoned his blood . Rough cider destroys one of the healing vitamins in the body if drunk to excess , and Tich was pickled in it . His face grew puffy , his arms and legs swelled up , and his fingers turned into purple sausages so that he <kept dropping his darts> . They took him to the cider ward of the local hospital and a week later he was dead . But Tich was always happy in his way , and curiously one of his merriest nights was when he and the The Shepton Mallet pop festival was one of the first and biggest outdoor pop concerts , a drug-raddled campsite without tents , populated by beaded flower children in kaftans and body paint who had hitch-hiked west in their tens of thousands .",iterative,Iterative,B
"Our choice of the best mail order buys Join the home guard <Keep surrounding surfaces clean> and clear up fast after a messy job with this practical polyethylene sheet . It provides an ample working area and has corner fasteners to lift the edges , and help to prevent spills . What 's more , when you 've finished with it simply wipe it clean and then fold it flat for easy storage .",MISTAG,MISTAG,B
"If nothing is readily available you find yourself trying to thaw out the cheesecake from the bottom of the freezer ( nobody will miss it , will they ? ) , or working out how long it will take you to get to the shops and back with a bag-full of goodies . The truth is that most people break their diet not just once , but many times . Dieters <keep trying , going> back on some diet or other , because they do not want to give up on themselves . After all , good results do occur , even if they are only temporary . However , the great hope all dieters have is that this new diet will be the one that will really work .",iterative,iterative,B
"True , there was a mixed Italian and German team climbing not far away , heading for the Traverse of the Gods ; he could see them but for some reason they could n't see him . He tried to shout for help , but was too weak to raise even the feeblest of cries . He could see that Longhi , the lowest on the rope , was in a bad way ; his hands <kept slipping . It> was no surprise to the Russian when an anguished cry rang out : `` Falling ! Hold me ! '' Despite the gale , Charsky heard the whiplash of the rope snaking through the second Italian , Corti 's , gloves , as he struggled to hold his partner .",iterative,iterative,B
"The modern equivalent of Mary Queen of Scots might well be the unsuccessful businesswoman who owes her position to her family , and therefore profoundly irritates women who are achieving success --- against the natural order of things . Second , the problem of female rule was arguably less severe in Scotland than elsewhere . Scotland was still , by contemporary standards , an unusually localized country , in which the government impinged less ; and it had two centuries of experience of long periods of royal minorities in which government and political life had to be <kept going without the> guiding hand of a monarch . For precisely these reasons , there was a well-developed sub-stratum of social and political control at local level in the kingdom at large ; and when people are accustomed to running affairs without any monarch at all , then the advent of a female ruler might well not be a substantial cause for concern . Lurking behind all this in Mary 's case is , of course , the notion of the gentler sex , with all that entails ; if nice men made bad kings , because successful kingship meant toughness and ruthlessness , how could the more emotional , gentler female hope to make a good queen ?",PASSIVE,PASSIVE,B
"`` On the upside we do get some new associations to replace the old , '' says Henderson , who is happy to welcome the Anglo-Mongolian Society , among others . `` People try to take us for a ride from time to time . There is a couple in north London who <keep presenting us with> `` new '' organisations . One of their latest was OBEL , the Organisation of British Objectors to Elections . It did n't actually exist , although they 'd probably get swarms of people prepared to join it just now if they tried . ''",iterative,iterative,B
"Despite the result on Saturday you still felt we had a lot to do . `` Tonight we have got even closer but you just do n't accept it until mathematically we ca n't do it . We did n't give up tonight and <kept plugging away and> I ca n't fault the players for effort . '' Flowers , the Southampton goalkeeper was the main reason for West Ham 's frustrations . He dived through the mud in his six-yard box to deny Slater , Bishop , Rush and Allen .",continuative,continuative,B
"I have plans , I have a myriad projects . '' I hoped his plans included building a board for me . In the meantime , I <kept using what was> left of Ted 's Excalibur . Then I met Alan , who worked for Olo Surfboards . I gave him a lift into Honolulu one night when his car had broken down .",continuative,ambiguous,B
"Firelight generally ate a bit of her haynet and by the time he settled down to go to sleep she lay down as well . But this night the mare was restless . She <kept walking round her> box , sighing , and picking bits out of her haynet and dropping them on the floor . While Nails was still reading his comic , she lay down and got up twice , which had never happened before . Nails put down his comic and looked at her closely , worried .",iterative,continuative,B
