text,Tense,Aktionsart (C/I),Subject Person,Ving
"In pretending here to be someone other than himself who <keeps murdering people ,> he does a tremendous job : this is a more than serviceable argot for the age in question and for the wizard in question . The suffering and self-conscious first-person singular manifested in Dyer could be considered a creation of the Gothic novel that came after him , and Dyer can also bring to mind the magus of a time before .",present,iterative,3rd,murder
"At times a golden girl is present in the vicinity of the discussions of the subject that <keep happening , and> is felt to restore a balance . Fairly early in Take a girl like you , Patrick delivers himself of an unqualified condemnation of women , which is followed by a sentence from the narrator concerning and presumably condemning Patrick 's attitude to Jenny at that stage , as a girl to be taken and left : `` He wanted more than his share of her before anybody else had any . ''",present,iterative,3rd,happen
I just <kept walking . Walking> and walking in the pissing rain . I just walked .,past,continuative,1st,walk
"I <kept walking , past> the old mill , right up around the bend to where the council property starts , and I thought , oh , shit , council houses . I 'm never going to find the spirit of true Englishness there .",past,continuative,1st,walk
"Yet , wrote Harsnet , I <keep coming back to> it . The question , he wrote , is how to make desire interesting .",present,iterative,1st,come back
"How to <keep doing what one> enjoyed doing as a child but adapting it to the changing circumstances . Bless relaxes , he wrote , roll down the socks .",present,ambiguous,3rd,do
"Where ? he <kept asking , where> ? I told him , Between junctions seventeen and eighteen .",past,iterative,3rd,ask
Or so I <keep telling myself .> But do I believe it ?,present,iterative,1st,tell
"You <keep waiting for more> but it does n't come . He works till lunch , then wanders into the kitchen and has long argument with Tony , or perhaps a discussion about the best way to cook trout or whether or not to sack the gardener .",present,continuative,2nd,wait
"I <kept seeing these double> helices like two snakes winding up an invisible tree , only smaller . He scratched with his stick on the ground ( we were in Hyde Park by this time ) .",past,iterative,1st,see
"In battlefield conditions , particularly in the desert , keyboard-free devices are more likely to <keep performing . But> in the hotel and restaurant industry , the GRiDPad 's 12-hour rechargeable power pack and its genuine portability make it viable for operations like stocktaking . Database files can be copied from the user 's main computer system to the GRiDPad --- a process which is slow currently , but will get faster --- and updated in the field .",present,continuative,3rd,perform
"`` But , sweety pie , I am --- what 's it you <keep saying ? ---> a bear of very little brain . '' `` But a very nice little bear all the same . ''",present,iterative,2nd,say
"`` He <keeps going on about> `` grey cells '' . '' `` I 've never been inside the local police station , '' said Ethel .",present,iterative,3rd,go on about
I <kept asking myself .> Had it all come down to this ?,past,iterative,1st,ask
"`` I 'm in everybody 's way , '' I <kept telling myself .> `` It 's no use .",past,iterative,1st,tell
"`` I <keep telling you but> you wo n't listen . Jobs are scarce at the moment , so you 've got to be realistic . ''",present,iterative,1st,tell
"That 's why I <keep telling you to> apply for teaching jobs . '' `` Yes , but as I keep trying to get through to you , I do n't want to teach any more .",present,iterative,1st,tell
"`` As I <keep saying , I> do n't need you or anybody else to tell me what I can or can not do . '' `` Yes you do !",present,iterative,1st,say
"`` Adjust , Dorothy , '' I <kept telling myself .> `` What was that Anne kept telling you ?",past,iterative,1st,tell
`` What was that Anne <kept telling you ?> `` You 've got to be realistic . '',past,iterative,3rd,tell
"This was , I <kept telling myself ,> just a staging post . It does , however , hold the distinction of being the second-longest-running job that I have held to date .",past,iterative,1st,tell
"I did n't go after anything fancy , but somehow I seemed to <keep muffing up the> interviews . I was too anxious --- far too anxious --- and this put my interviewers on their guard .",past,iterative,1st,muff up
"`` It 's only temporary , '' I <kept telling myself .> I went back downstairs .",past,iterative,1st,tell
"I <kept asking myself .> Unfortunately , there was a row of mirrors on the wall opposite me .",past,iterative,1st,ask
"They <keep getting these ridiculous> benefit cuts as well , which just defeat me actually . '' `` You know why I think they do it ?",present,iterative,3rd,get
"I have n't been very successful with my aubergines the last couple of years , as they <keep being eaten by> caterpillars . Is there any way of dealing with them without using chemicals ?",present,iterative,3rd,be eaten
"<Keep re-checking the field> and reselect if a better one becomes apparent . Move away to avoid flying directly over the field , but keep it within easy reach all the time .",present,iterative,2nd,re-check
Do n't <keep putting off the> choice . Few fields are perfect and all you need is a good sized field with a level or uphill gradient and a good surface .,present,iterative,2nd,put off
"No problem to Lucy , who <kept smiling through ,> witty and charming , zipping through three courses of creative cuisine into a smart frock and an atomised squirt of Coty L'Amant in the time it took Martin and `` the gang '' to get home . But then at two or three after midnight , a stack of dishes in the sink promising her a greasy good morning , Martin would feel drunkenly randy and she fought first her tiredness then her ( unreasonable ? ) anger when the next evening was the same .",past,continuative,3rd,smile
<Keep positioning yourself in> the correct line while turning your own centre-line towards the opponent . Disguise your changes in line by `` switch-changing '' your stance .,present,ambiguous,2nd,position
But it is not easy to <keep working just at> present . '' `` Does James Flemyng keep you up to the mark ? '',present,continuative,N/A,work
Why do you <keep asking me about> yourself ? '' `` Nothing .,present,iterative,2nd,ask
Rodney was not in the best of tempers because ( he <kept saying ) he> could n't see out of the rear window with that damned bicycle in the way . Sara was not in the best of tempers because ( she kept saying ) she had nowhere to put her feet between the aubergines and the case of wine on the floor .,past,iterative,3rd,say
Sara was not in the best of tempers because ( she <kept saying ) she> had nowhere to put her feet between the aubergines and the case of wine on the floor . But they were nearly there .,past,iterative,3rd,say
"Why do you <keep rushing from room> to room ? '' He was smiling again , so there could be no harm in telling him .",present,iterative,2nd,rush
"As Piaget said himself when reporting his original data , it is just not possible to explain the seven-month-old 's failure to search in terms of memory failure ( that is the baby knows that objects exist unperceived but <keeps forgetting that this> object went behind there ) because if an organism had a memory this bad it would ipso facto lack object permanence . Moreover , we know that infant memory is remarkably good in other contexts .",present,iterative,3rd,forget
"She <kept waiting for him> to do something , but he hesitated , as if he were waiting for her . She enjoyed hearing about the governess 's letters which would never be received and translations of East End rhyming slang , but did n't think he actually listened to her , he often asked her the same questions .",past,continuative,3rd,wait
Keep your feet and hips still and <keep facing forwards .> Hold your stomach in during the twists .,present,continuative,2nd,face forwards
"A study of Ashton 's ways of using them , or of MacMillan 's , reveal how unnecessary it is to <keep passing the arms> through 1st position . Nor is it necessary always to keep the arms rounded except in arabesque .",present,iterative,N/A,pass
"Charrington 's <kept going for longer> , but in 1975 , after 218 years , brewing ceased at the Anchor brewery . Just a short distance away , where the Whitechapel Road has turned into the Mild End Road , was another East End concern whose name had become part of a company with national interests --- Mann Crossman and Paulin of the Albion brewery .",past,continuative,3rd,go
"Her paws <kept reaching for the> ground , but it was not there . She tried gamely to hold her head high and proud , but to no avail .",past,iterative,3rd,reach
"I could n't be more pleased , so <keep sending them in> . Some of you are also sending me labels and leaflets because you find the information on them confusing .",present,ambiguous,2nd,send in
We hope the stamps <keep coming . I> 'm sure the dogs at the kennels will love your prize . EAR EAR !,present,ambiguous,3rd,come
"I slept on the bed with them but they <kept falling out ,> so they bought another bed , for themselves . When we were camping there was n't enough room inside the van , so they bought an awning , which they slept in , of course .",past,iterative,3rd,fall out
( Dmitry did n't kill his father but he <keeps baring his breast> to people about how much he wanted to . ) So the idea of Raskolnikov 's `` Confession '' ran into the ground .,present,iterative,3rd,bare
"She , the simple mender and dealer in second-hand clothes , happens to return as she happens to <keep getting pregnant ---> and what fuller and neater manifestation of chance than that , than conceiving and being conceived ? Lizaveta 's final outrage is inflicted by a man who almost cleaves her head in two .",present,iterative,3rd,get
"And yet , while God doing everything for Sonya remains shielded by her faith , the green shawl <keeps cropping up through> the novel for all to see . She puts it on to follow Raskolnikov on his final journey to the police station , and through his mind flashes the thought that this is the shawl Marmeladov referred to in the pub as `` the family one '' .",present,iterative,3rd,crop up
"A fly was buzzing over my head ad <kept settling on my> face . I caught it , held it in my fingers and put it out of the window .",past,iterative,3rd,settle
"And at the end , after twelve cancelled variants in one short paragraph , a single sentence , itself the third attempt , tells us `` They would not let the orchestra go , and musicians who attempted to leave were beaten up '' , which says all we need to know about the unstated `` <Keep playing ! ''> whereby the liveliness of the small hours will have been sustained . On the other hand this skulking novelist told himself in a notebook , as we recall , `` I am a character '' ; and there is every reason why the narrating `` I '' of The Possessed should be perfectly visible .",present,continuative,2nd,play
"Therefore he <keeps walking , ``> thinking of nothing so long as he could refrain from thinking '' . Golyadkin country .",present,continuative,3rd,walk
"Chelsea might have won had the ball not <kept turning into a> Mexican bean at Kerry Dixon 's feet . Campbell 's hard-working side are still trying to sort out their system , which involves a spare defender and , as far as one can see , a good deal of improvisation .",past,iterative,3rd,turn into
"`` The reason that Hollywood <keeps selling all its> film companies to the Australians , the Japanese , and so on , is to prevent them falling into the hands of people from New York . '' `` Psychologists now think that America has never recovered from the traumatic blow of introducing baseball into the Los Angeles Olympics and then losing in the final to Japan . ''",present,iterative,3rd,sell
"`` Whatever happens , I do n't care how long I spend in prison , because I 'm going to <keep fighting it (> this law ) from the prison depending on what the reaction of the public is ... Somebody 's got to do it .",present,continuative,1st,fight
"`` I <keep telling myself that> it will stand me in good stead when I 'm about 40 and doing my first Isolde ! '' But she 's not really complaining : Mozart launched her international career at the 1982 Aix Festival when at short notice , and at only 25 , she took on the role of Pamina in The Magic Flute .",present,iterative,1st,tell
"Occasionally athletes are <kept waiting at the> start for a minute or so until television is ready . It is a small price , Pascoe believes , and one which sport should accept as reasonable .",PASSIVE,PASSIVE,PASSIVE,PASSIVE
"Oh God , Why Do I <Keep Writing These Dreadful> Attacks on the Prince of Wales ? What 's Wrong With Me ?",present,iterative,1st,write
`` I <kept looking for something> that would tell me ( the PTL managers ) kept it from Bakker himself ... but it never came . '' Mr Hill said Mr Bakker displayed some of the persuasive powers in the courtroom that he had used to raise money on television .,past,ambiguous,1st,look for
"She has had hundreds of letters from adults sexually abused as children saying `` <keep going , that> they wished someone had diagnosed it in their childhood and describing the trauma they still suffer as adults even though to the outside world they are perfectly normal , respectable people . I had one from an 80-year-old woman who had carried the secret all her life '' .",present,continuative,2nd,go
"It meant that we could <keep moving forward and> keep our rhythm . '' The former Hungarian trick-rider , who has had some nostalgic moments watching members of his old troupe performing here this week , was also helped by the cautious approach of some of his opponents .",past,continuative,1st,move
