text,Tense,Aspect,Subject Person,Ving
es have been shaped by events in the past . But he!!!!!keeps parceling out the_ shocking revelations and ratcheting up the conflicts with such relentlessness that the play goes a little haywire . Although the production is terrif,present,iterative,3rd,parcel
"h . He was on probation ; he had a curfew ; and he!!!!!kept getting referrals in_ school . "" Several days after the shooting last month , Elkins ' mother , Karimah Elkins , 36 , and sister , 19 , were jailed on charges of tampering",past,iterative,3rd,get
ssell : All you do is bear down on what you do and!!!!!keeping doing it ._ You do n't have to change anything . All he has to do is get better at what he does . All that comes from is doing it . I would not say he should do,present,continuative,2nd,do
"... Promoters are doing everything they can do to!!!!!keep having tracks for_ drivers that want to be NASCAR drivers . "" Last month , when Stewart started a pileup that left 19-year-old Alysha Ruggles with a back injury and lat",present,continuative,3rd,have
"t Busch Stadium . The huge right-center scoreboard!!!!!kept showing the home_ runs , as part of the greatest moments in Cardinals postseason history . Over . And over . Every three minutes , there it was for the Dodgers to see",past,iterative,3rd,show
"the National Weather Service reports , and storms!!!!!keep rolling in ._ As soils become more saturated , as erosion worsens and culverts and natural drains become increasingly clogged , odds stack up against the city . Th",present,iterative,3rd,roll in
"ds the key to whether the current bull market will!!!!!keep going - and_ for how long - which , in turn , will shape an older generation 's retirement accounts and a young generation 's decisions about how much to trust th",future,continuative,3rd,go
"hey , story overseas . "" This thing that everybody!!!!!keeps talking about -_ this global marketplace - is not some euphemistic , ideological thing . It 's the reality , "" said John Veihmeyer , chairman and CEO of global auditi",present,iterative,3rd,talk
"any chance of a happy ending for Don Draper , who!!!!!keeps sucking in death_ with every cigarette and seems determined to ruin anything good that comes to him ? "" I do see a possible happy end for Don , "" Hamm says . "" I certa",present,iterative,3rd,suck in
"ed and re-tossed in this unconventional novel that!!!!!keeps retelling the same_ 1910 day in different ways . "" The Lowland "" by Jhumpa Lahiri ( Knopf ) This novel follows the bond of the Mitra brothers , Subhash and Udayan , born",present,iterative,3rd,retell
"tent as possible after the All-Star break . "" Just!!!!!keep doing what you_ do , "" he said . "" Keep bringing what you Do n't get out of your shell and do something new , become a new guy in the second half . Just be the same",present,continuative,2nd,do
"e found his mother and then close them again . She!!!!!kept assuring him he_ was going to be all right . Tiger 's first words : "" Did you know there are seven different species of sea turtles ? "" The nurses thought he was deli",past,iterative,3rd,assure
"t , ' "" Cherney said . "" He 's a warrior . He just!!!!!keeps pressing on ._ , he arranged the tank and shorts on his dresser and set his track shoes on top . He took a photo with his iPhone and brought it to school to show hi",present,continuative,3rd,press on
"r during a parachute jump . "" I was told that if I!!!!!kept doing what I_ was doing , I was going to need a fake shoulder within about four or five years , "" he said . Chamberlain opted instead to get his Master of Business",past,ambiguous,1st,do
"for what the church calls excommunication. He just!!!!!kept grabbing my hand_ . And he says , I love you so very much . Not long after her husband was forced to go , church leaders told Suzette that she too was cast out , but s",past,iterative,3rd,grab
"rned a corner then . And this week , well , I just!!!!!kept going . I_ share this morning , this day of celebration with everyone . She 's the heart and soul of this place . And why , we know she is just getting started",past,continuative,1st,go
"saying to me personally , why do you guys ... Just!!!!!keep talking ? Just_ keep talking . Why do you give them that kind of attention ? Well in a situation like that , first of all you had an entire city locked down . Right",present,continuative,1st,talk
"hat should I do ? Keep him on the team and let him!!!!!keep doing it ._ And he 's gon na decide what he 's gon na do after that . JOHN QUIONES ( ABC NEWS ) In fact , Joseph Levister ( PH ) suggests strongly that our coach",present,continuative,3rd,do
", you just have to keep your mind open . She will!!!!!keep praying until inspiration_ strikes , just like her mother and her other this polygamist community , God reveals to the women who they will marry . Do you feel like you have any",future,ambiguous,3rd,pray
"-eight days . We 'll talk to her in just-- she 'll!!!!!keep going . Yes_ . Uh-Huh . Yeah . Fit for life . Right . Going red forever . Plus , if you need an easy idea for dinner tonight , we 're making a spiced-up roast chi",future,continuative,3rd,go
"ut they go back like way back 1916 . And then they!!!!!kept reinventing themselves ._ And now look how great these are . They 're doing collaborations with Kate Spade , with Madewell , they have all these new spring colors . Taylor Swi",past,iterative,3rd,reinvent
", a little emotional and he kept looking into-- he!!!!!kept looking at me_ with the bright red eyes , so I was trying to take picture with him and the teacher and-- and he was like , no , mom , I ca n't see . It's-- you know",past,continuative,3rd,look
"ed deal that just keeps blowing bubbles . And just!!!!!keeps blowing bubbles ._ No , you know , no need to-- to do one or two at a time . You can just let them keep going . Keeps them distracted at the backyard . Yeah . But for m",present,iterative,3rd,blow
"ed A day went by , then two , then a week . I just!!!!!kept waiting for her_ to walk back through that door . You expected that to happen ? I did n't know what else to do . For me it was just well , she 's going to come back ,",past,continuative,1st,wait
". Over , over , over . Wait , he 'll do it again .!!!!!Keep going . And_ look , look , look , a step over , and , over . And that 's how he does . He does it -- like , over . Look at the size . I 've got-- I would not want",present,continuative,2nd,go
